Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Segment,Product,Category,Region,City,Quantity,Unit_Price,Discount,Sales,Cost,Profit
ORD-00015,2023-02-25,CUST-0212,Nikhil Rao,Consumer,Notebook Set,Stationery,Central,Nagpur,4,250.92,0.15,853.13,538.13,315.0
ORD-00016,2024-03-24,CUST-0148,Arjun Khan,Corporate,Bookshelf,Furniture,Central,Bhopal,8,3882.0,0.2,26832.37,17820.81,9011.56
ORD-00017,2023-08-19,CUST-0048,Rohan Patel,Corporate,Notebook Set,Stationery,Central,Nagpur,2,248.07,0.0,496.14,306.48,189.66
ORD-00018,2024-04-28,CUST-0248,Ishaan Iyer,Corporate,Cap,Clothing,East,Patna,4,346.98,0.0,1498.93,805.22,693.71
ORD-00019,2024-06-03,CUST-0175,Arjun Patel,Consumer,Office Chair,Furniture,East,Patna,5,6916.71,0.05,35482.74,24106.5,11376.24
ORD-00020,2023-12-20,CUST-0248,Ishaan Iyer,Corporate,Cooking Oil,Groceries,West,Ahmedabad,6,323.32,0.15,2061.18,1447.6,613.58
ORD-00021,2023-02-14,CUST-0211,Aarav Singh,Corporate,Dining Table,Furniture,West,Mumbai,6,15734.12,0.2,75523.75,53149.53,22374.22
ORD-00022,2024-08-27,CUST-0258,Pooja Das,Consumer,Sofa,Furniture,North,Delhi,6,23626.68,0.3,107170.63,74468.06,32702.57
ORD-00023,2023-03-18,CUST-0080,Ananya Patel,Corporate,Laptop,Electronics,West,Ahmedabad,8,58096.78,0.05,441535.51,333277.87,108257.64
ORD-00024,2024-07-08,CUST-0250,Nikhil Khan,Consumer,Cap,Clothing,West,Pune,1,358.22,0.0,386.88,218.37,168.51
ORD-00025,2024-03-30,CUST-0052,Ananya Patel,Corporate,Smartwatch,Electronics,North,Lucknow,3,4674.6,0.0,15145.71,10740.95,4404.76
ORD-00026,2024-08-02,CUST-0211,Aarav Singh,Corporate,Sneakers,Clothing,South,Bengaluru,3,2988.79,0.0,9683.68,5442.66,4241.02
ORD-00027,2024-10-15,CUST-0237,Sara Patel,Small Business,Spices Combo,Groceries,South,Bengaluru,5,396.77,0.2,2142.53,1391.26,751.27
ORD-00028,2024-08-24,CUST-0177,Ishaan Iyer,Small Business,Pen Pack,Stationery,North,Chandigarh,5,102.78,0.1,499.5,311.11,188.39
ORD-00029,2024-08-08,CUST-0196,Meera Iyer,Corporate,Beverages,Groceries,North,Delhi,6,91.35,0.2,473.54,326.99,146.55
ORD-00030,2024-09-12,CUST-0026,Ishaan Nair,Small Business,T-Shirt,Clothing,Central,Indore,8,639.94,0.05,5252.63,3048.27,2204.36
ORD-00031,2024-10-05,CUST-0071,Meera Nair,Consumer,Desk,Furniture,Central,Nagpur,2,9726.13,0.2,21008.43,12397.6,8610.83
ORD-00032,2024-03-01,CUST-0168,Kabir Singh,Small Business,Jeans,Clothing,North,Chandigarh,3,1410.24,0.3,3198.42,1773.0,1425.42
ORD-00033,2023-12-13,CUST-0152,Priya Patel,Small Business,Jeans,Clothing,East,Patna,2,1490.5,0.0,3726.25,1902.19,1824.06
ORD-00034,2023-01-15,CUST-0203,Neha Khan,Small Business,Spices Combo,Groceries,East,Kolkata,5,402.93,0.1,1813.17,1271.17,542.0
ORD-00035,2024-04-27,CUST-0120,Sara Patel,Consumer,Snack Pack,Groceries,North,Lucknow,1,153.59,0.15,140.99,98.02,42.97
ORD-00036,2023-02-16,CUST-0072,Aarav Verma,Small Business,Snack Pack,Groceries,West,Mumbai,1,144.13,0.1,129.72,86.23,43.49
ORD-00037,2024-08-24,CUST-0215,Aarav Verma,Small Business,Beverages,Groceries,East,Bhubaneswar,3,96.94,0.2,251.26,166.4,84.86
ORD-00038,2024-03-31,CUST-0228,Ananya Nair,Consumer,T-Shirt,Clothing,East,Kolkata,4,642.65,0.0,2776.27,1673.82,1102.45
ORD-00039,2023-05-06,CUST-0098,Vivaan Rao,Corporate,T-Shirt,Clothing,West,Pune,8,551.0,0.0,4408.01,2493.12,1914.89
ORD-00040,2023-03-12,CUST-0106,Vivaan Nair,Consumer,Jeans,Clothing,South,Hyderabad,4,1525.91,0.3,4272.56,2523.66,1748.9
ORD-00041,2024-07-07,CUST-0067,Priya Das,Small Business,Notebook Set,Stationery,East,Kolkata,5,264.93,,1430.6,886.01,544.59
ORD-00042,2023-09-29,CUST-0090,Aarav Verma,Consumer,Dining Table,Furniture,East,Kolkata,1,13880.28,0.1,12492.25,8162.33,4329.92
ORD-00043,2024-05-30,CUST-0232,Ananya Nair,Consumer,Cap,Clothing,Central,Bhopal,4,381.18,0.0,1646.69,946.84,699.85
ORD-00044,2024-02-16,CUST-0246,Pooja Das,Corporate,Sneakers,Clothing,North,Delhi,7,3319.1,0.1,22583.17,12948.38,9634.79
ORD-00045,2023-10-09,CUST-0065,Kabir Rao,Corporate,Cap,Clothing,South,Bengaluru,6,341.66,0.15,2178.1,1205.28,972.82
ORD-00046,2024-03-16,CUST-0111,Sara Das,Corporate,Smartphone,Electronics,Central,Indore,8,19397.13,0.1,150832.06,113859.1,36972.96
ORD-00047,2024-01-19,CUST-0131,Arjun Mehta,Small Business,Headphones,Electronics,West,Pune,3,2593.41,0.1,7562.39,5388.0,2174.39
ORD-00048,2024-08-23,CUST-0031,Vivaan Reddy,Consumer,Headphones,Electronics,South,Hyderabad,6,2585.01,0.1,15075.76,11414.78,3660.98
ORD-00049,2023-04-17,CUST-0181,Meera Das,Small Business,Headphones,Electronics,Central,Nagpur,4,2327.37,0.1,8378.51,6174.81,2203.7
ORD-00050,2024-03-15,CUST-0116,Meera Khan,Corporate,T-Shirt,Clothing,East,Bhubaneswar,1,613.08,0.2,529.7,310.53,219.17
ORD-00051,2023-05-27,CUST-0093,Vivaan Gupta,Corporate,Jacket,Clothing,East,Kolkata,7,2558.97,0.2,14330.22,8091.54,6238.68
ORD-00052,2023-06-11,CUST-0175,Arjun Patel,Consumer,Sofa,Furniture,West,Pune,6,21171.2,0.05,120675.87,82782.27,37893.6
ORD-00053,2024-11-21,CUST-0026,Ishaan Nair,Small Business,Laptop,Electronics,South,Hyderabad,2,52493.13,0.2,113385.16,87096.39,26288.77
ORD-00054,2023-04-24,CUST-0221,Rohan Verma,Corporate,Dining Table,Furniture,North,Chandigarh,5,15534.65,0.15,66022.28,42799.75,23222.53
ORD-00055,2023-11-05,CUST-0105,Meera Nair,Small Business,Spices Combo,Groceries,North,Delhi,4,421.39,,1474.86,1009.98,464.88
ORD-00056,2024-05-27,CUST-0118,Sara Nair,Small Business,Cooking Oil,Groceries,South,Chennai,6,292.61,0.3,1327.29,1001.91,325.38
ORD-00057,2024-12-27,CUST-0208,Sara Singh,Corporate,Headphones,Electronics,Central,Nagpur,7,2394.76,0.1,20367.41,14364.19,6003.22
ORD-00058,2023-04-19,CUST-0224,Ishaan Patel,Consumer,Desk Organizer,Stationery,East,Kolkata,4,690.99,0.1,2487.58,1499.7,987.88
ORD-00059,2024-06-06,CUST-0040,Priya Reddy,Consumer,Jeans,Clothing,East,Kolkata,2,1509.18,0.0,3259.83,1938.46,1321.37
ORD-00060,2023-07-22,CUST-0132,Neha Mehta,Consumer,Desk,Furniture,North,Delhi,3,9184.32,0.3,19287.07,13186.37,6100.7
ORD-00061,2024-11-28,CUST-0230,Priya Gupta,Small Business,Beverages,Groceries,Central,Indore,6,96.56,0.2,625.69,433.93,191.76
ORD-00062,2024-06-03,CUST-0181,Meera Das,Small Business,Jacket,Clothing,Central,Bhopal,2,2693.83,0.1,5236.8,2613.88,2622.92
ORD-00063,2024-04-18,CUST-0197,Ishaan Rao,Corporate,Tablet,Electronics,Central,Indore,1,15839.15,0.3,11974.4,9473.89,2500.51
ORD-00064,2023-12-18,CUST-0053,Kabir Gupta,Corporate,Pen Pack,Stationery,North,Chandigarh,2,100.09,0.0,250.23,136.3,113.93
ORD-00065,2024-01-17,CUST-0187,Meera Gupta,Small Business,Whiteboard,Stationery,Central,Bhopal,5,1563.97,0.3,5911.82,3432.43,2479.39
ORD-00066,2023-10-18,CUST-0198,Meera Iyer,Corporate,T-Shirt,Clothing,East,Kolkata,5,626.85,0.2,3134.24,1883.94,1250.3
ORD-00067,2024-11-02,CUST-0159,Ananya Singh,Small Business,Tablet,Electronics,South,Chennai,7,14812.65,0.2,111983.6,94998.86,16984.74
ORD-00068,2024-06-04,CUST-0217,Aditi Sharma,Corporate,Jeans,Clothing,Central,Bhopal,6,1355.47,0.05,8344.27,4295.87,4048.4
ORD-00069,2023-03-21,CUST-0080,Ananya Patel,Corporate,Cooking Oil,Groceries,South,Bengaluru,5,342.04,0.0,1710.22,1233.25,476.97
ORD-00070,2024-09-03,CUST-0068,Arjun Verma,Consumer,Notebook Set,Stationery,East,Bhubaneswar,7,232.71,0.0,1759.31,1125.54,633.77
ORD-00071,2024-11-23,CUST-0187,Meera Gupta,Small Business,Sofa,Furniture,North,Chandigarh,4,24066.19,0.15,110463.81,68712.98,41750.83
ORD-00072,2024-01-12,CUST-0100,Pooja Mehta,Small Business,Pen Pack,Stationery,East,Patna,8,99.23,0.05,814.51,515.89,298.62
ORD-00073,2023-02-23,CUST-0129,Aarav Khan,Consumer,Desk,Furniture,Central,Bhopal,8,9673.41,0.15,65779.19,46470.25,19308.94
ORD-00074,2024-04-05,CUST-0140,Priya Mehta,Corporate,Headphones,Electronics,North,Delhi,3,2665.52,0.0,8636.3,7337.75,1298.55
ORD-00075,2024-05-29,CUST-0203,Neha Khan,Small Business,T-Shirt,Clothing,West,Mumbai,6,568.29,0.0,3682.54,1974.73,1707.81
ORD-00076,2024-04-28,CUST-0147,,Consumer,Jeans,Clothing,South,Bengaluru,3,1577.65,0.1,4600.43,2504.23,2096.2
ORD-00077,2023-04-24,CUST-0217,Aditi Sharma,Corporate,Jeans,Clothing,South,Hyderabad,5,1421.29,0.0,7106.46,3555.02,3551.44
ORD-00078,2024-10-09,CUST-0009,Rohan Sharma,Consumer,Rice 5kg,Groceries,North,Chandigarh,4,469.67,0.05,2409.4,1710.22,699.18
ORD-00079,2023-03-11,CUST-0185,Meera Gupta,Small Business,Cooking Oil,Groceries,North,Lucknow,1,312.99,0.1,281.69,184.3,97.39
ORD-00080,2024-11-03,CUST-0124,Kabir Rao,Corporate,Headphones,Electronics,North,Chandigarh,2,2635.75,0.2,5693.22,4668.68,1024.54
ORD-00081,2024-10-08,CUST-0246,Pooja Das,Corporate,Jeans,Clothing,West,Ahmedabad,3,1593.45,0.0,6453.47,3702.77,2750.7
ORD-00082,2023-11-14,CUST-0162,Kabir Khan,Corporate,Office Chair,Furniture,South,Bengaluru,7,7135.86,0.15,53072.96,34313.9,18759.06
ORD-00083,2023-10-07,CUST-0170,Aditi Nair,Small Business,Jacket,Clothing,North,Lucknow,2,2967.63,0.1,6677.17,3958.52,2718.65
ORD-00084,2024-01-12,CUST-0255,Kabir Verma,Consumer,Snack Pack,Groceries,South,Chennai,5,159.03,0.2,687.03,487.19,199.84
ORD-00085,2023-03-23,CUST-0053,Kabir Gupta,Corporate,Dining Table,Furniture,East,Patna,6,15482.76,0.05,88251.72,56743.12,31508.6
ORD-00086,2024-09-21,CUST-0181,Meera Das,Small Business,Snack Pack,Groceries,West,Mumbai,7,143.24,0.3,758.01,594.66,163.35
ORD-00087,2024-09-14,CUST-0074,Vivaan Khan,Consumer,Cap,Clothing,South,Bengaluru,8,317.44,0.0,2742.65,1428.81,1313.84
ORD-00088,2024-01-15,CUST-0231,Ananya Gupta,Corporate,Notebook Set,Stationery,Central,Bhopal,6,247.2,0.0,1601.84,975.31,626.53
ORD-00089,2024-05-26,CUST-0096,Pooja Gupta,Consumer,Jeans,Clothing,North,Delhi,7,1624.06,0.0,12277.91,6431.11,5846.8
ORD-00090,2023-05-19,CUST-0063,Rohan Mehta,Small Business,Backpack,Stationery,West,Mumbai,2,1782.74,0.2,2852.38,1692.64,1159.74
ORD-00091,2023-11-04,CUST-0149,Meera Reddy,Consumer,Jacket,Clothing,North,Lucknow,3,2918.61,0.2,8755.84,4948.34,3807.5
ORD-00092,2023-01-27,CUST-0253,Rohan Khan,Corporate,Laptop,Electronics,South,Bengaluru,6,55594.24,0.05,316887.14,245560.7,71326.44
ORD-00093,2024-06-22,CUST-0246,Pooja Das,Corporate,Smartphone,Electronics,East,Patna,7,18968.99,0.3,100383.91,79472.38,20911.53
ORD-00094,2023-05-12,CUST-0177,Ishaan Iyer,Small Business,Smartwatch,Electronics,West,Ahmedabad,3,4741.0,0.0,14223.01,10944.44,3278.57
ORD-00095,2023-06-15,CUST-0085,Kabir Reddy,Small Business,Tablet,Electronics,South,Chennai,6,17391.16,0.0,104346.97,78884.18,25462.79
ORD-00096,2023-05-09,CUST-0141,Diya Reddy,Consumer,Headphones,Electronics,South,Hyderabad,5,2557.21,0.0,12786.07,9978.27,2807.8
ORD-00097,2024-07-31,CUST-0173,Kabir Singh,Small Business,Desk,Furniture,Central,Indore,1,9585.43,0.0,10352.26,6165.38,4186.88
ORD-00098,2024-05-24,CUST-0016,Nikhil Verma,Small Business,Jeans,Clothing,Central,Nagpur,5,1542.57,0.05,7913.4,4337.52,3575.88
ORD-00099,2023-06-11,CUST-0031,Vivaan Reddy,Consumer,Sneakers,Clothing,North,Lucknow,8,3146.0,0.1,22651.19,11720.69,10930.5
ORD-00100,2024-06-11,CUST-0190,Diya Das,Small Business,Jacket,Clothing,West,Mumbai,2,2698.7,0.1,5246.28,2667.61,2578.67
ORD-00101,2023-09-12,CUST-0215,Aarav Verma,Small Business,Headphones,Electronics,West,Ahmedabad,3,2656.74,0.15,6774.68,5517.95,1256.73
ORD-00102,2023-01-24,CUST-0255,Kabir Verma,Consumer,Desk Organizer,Stationery,West,Pune,2,762.33,0.15,1295.97,770.93,525.04
ORD-00103,2023-10-20,CUST-0241,Kunal Sharma,Corporate,Smartphone,Electronics,East,Patna,1,19249.82,0.1,21656.05,15655.03,6001.02
ORD-00104,2024-08-06,CUST-0027,Aditi Mehta,Small Business,Snack Pack,Groceries,North,Chandigarh,4,145.88,0.05,598.67,394.28,204.39
ORD-00105,2023-04-10,CUST-0066,Nikhil Patel,Small Business,Cap,Clothing,Central,Bhopal,7,341.12,0.05,2268.47,1262.09,1006.38
ORD-00106,2023-02-16,CUST-0021,Meera Verma,Corporate,Whiteboard,Stationery,West,Ahmedabad,1,1483.85,0.05,1409.66,897.21,512.45
ORD-00107,2023-06-16,CUST-0164,Kunal Patel,Consumer,Pen Pack,Stationery,East,Bhubaneswar,7,109.81,0.2,614.95,394.25,220.7
ORD-00108,2024-05-01,CUST-0154,Kunal Sharma,Consumer,Whiteboard,Stationery,West,Ahmedabad,1,1557.87,0.2,1346.0,744.54,601.46
ORD-00109,2023-02-22,CUST-0117,Aditi Das,Small Business,Tablet,Electronics,West,Pune,8,14945.64,0.2,95652.09,77909.06,17743.03
ORD-00110,2023-07-15,CUST-0057,Priya Iyer,Consumer,Office Chair,Furniture,Central,Indore,1,6423.35,0.1,5781.02,3495.7,2285.32
ORD-00111,2024-06-15,CUST-0071,Meera Nair,Consumer,Desk Organizer,Stationery,North,Lucknow,4,708.52,0.2,2448.66,1462.84,985.82
ORD-00112,2024-11-23,CUST-0182,Ishaan Das,Corporate,Spices Combo,Groceries,East,Bhubaneswar,5,408.81,0.0,2759.44,2168.52,590.92
ORD-00113,2023-11-21,CUST-0251,Pooja Khan,Consumer,Jacket,Clothing,South,Hyderabad,8,2715.33,0.3,19007.31,10917.48,8089.83
ORD-00114,2023-10-25,CUST-0075,Meera Iyer,Small Business,Desk Organizer,Stationery,West,Pune,1,670.27,0.2,670.27,368.3,301.97
ORD-00115,2024-07-29,CUST-0139,Meera Patel,Consumer,Cooking Oil,Groceries,South,Hyderabad,5,296.79,0.15,1362.25,1028.07,334.18
ORD-00116,2024-02-28,CUST-0052,Ananya Patel,Corporate,Pen Pack,Stationery,South,Bengaluru,6,104.35,0.0,676.17,420.4,255.77
ORD-00117,2023-10-22,CUST-0103,Ishaan Patel,Consumer,Sofa,Furniture,West,Pune,6,21055.83,0.0,157918.71,111021.88,46896.83
ORD-00118,2023-02-07,CUST-0091,Aditi Singh,Corporate,Notebook Set,Stationery,South,Chennai,7,264.4,0.0,1850.79,1207.44,643.35
ORD-00119,2023-12-10,CUST-0055,Aarav Nair,Corporate,Smartphone,Electronics,East,Bhubaneswar,5,17835.66,0.2,89178.28,70161.45,19016.83
ORD-00120,2023-12-05,CUST-0058,Vivaan Reddy,Small Business,Desk Organizer,Stationery,East,Kolkata,3,732.36,0.2,2197.07,1254.25,942.82
ORD-00121,2024-03-13,CUST-0208,Sara Singh,Corporate,Cap,Clothing,South,Bengaluru,6,321.07,0.2,1664.44,841.36,823.08
ORD-00122,2024-04-02,CUST-0121,Diya Iyer,Consumer,Office Chair,Furniture,East,Patna,5,7090.25,0.05,36372.96,24032.34,12340.62
ORD-00123,2024-04-21,CUST-0061,Diya Gupta,Small Business,Jeans,Clothing,North,Lucknow,5,1397.92,0.2,6038.99,3323.12,2715.87
ORD-00124,2023-08-13,CUST-0114,Kabir Mehta,Corporate,T-Shirt,Clothing,East,Patna,3,597.38,0.1,1612.93,931.07,681.86
ORD-00125,2023-09-11,CUST-0112,Ishaan Sharma,Corporate,Desk Organizer,Stationery,Central,Indore,2,703.57,0.15,1196.07,746.89,449.18
ORD-00126,2023-06-18,CUST-0077,Diya Rao,Small Business,Tablet,Electronics,Central,Bhopal,6,17134.36,0.1,92525.52,66630.72,25894.8
ORD-00127,2023-05-16,CUST-0233,Sara Nair,Small Business,Tablet,Electronics,West,Mumbai,7,15861.76,0.0,111032.29,87623.61,23408.68
ORD-00128,2024-08-15,CUST-0112,Ishaan Sharma,Corporate,Smartwatch,Electronics,East,Kolkata,2,4090.76,0.05,8394.24,6809.91,1584.33
ORD-00129,2023-07-04,CUST-0210,Rohan Singh,Corporate,Smartwatch,Electronics,North,Chandigarh,3,4739.24,0.2,11374.19,9130.72,2243.47
ORD-00130,2024-11-30,CUST-0042,Ananya Gupta,Small Business,Beverages,Groceries,West,Pune,3,92.76,0.05,356.91,237.37,119.54
ORD-00131,2024-04-19,CUST-0153,Nikhil Patel,Small Business,Desk,Furniture,North,Delhi,7,9057.48,0.3,47932.19,29471.41,18460.78
ORD-00132,2024-09-21,CUST-0215,Aarav Verma,Small Business,Office Chair,Furniture,North,Lucknow,1,6162.87,0.0,6655.9,3981.0,2674.9
ORD-00133,2023-08-28,CUST-0225,Aarav Reddy,Consumer,Laptop,Electronics,North,Chandigarh,4,57798.24,0.3,161835.08,115033.23,46801.85
ORD-00134,2023-08-31,CUST-0165,Sara Mehta,Corporate,Backpack,Stationery,Central,Indore,5,1935.45,0.2,7741.81,4664.83,3076.98
ORD-00135,2024-07-23,CUST-0219,Arjun Khan,Corporate,Whiteboard,Stationery,South,Hyderabad,8,1455.0,0.05,11942.66,7798.44,4144.22
ORD-00136,2024-01-21,CUST-0154,Kunal Sharma,Consumer,Sneakers,Clothing,West,Mumbai,3,3362.83,0.1,9806.0,5113.89,4692.11
ORD-00137,2024-03-02,CUST-0212,Nikhil Rao,Consumer,Sofa,Furniture,North,Lucknow,3,21509.04,0.05,66204.84,40479.88,25724.96
ORD-00138,2023-02-22,CUST-0098,Vivaan Rao,Corporate,T-Shirt,Clothing,Central,Indore,5,585.26,0.15,2487.36,1396.21,1091.15
ORD-00139,2023-12-07,CUST-0107,Neha Patel,Small Business,Whiteboard,Stationery,South,Chennai,5,1746.25,0.0,10914.04,6170.98,4743.06
ORD-00140,2024-02-11,CUST-0105,Meera Nair,Small Business,Cooking Oil,Groceries,Central,Indore,4,323.33,0.3,977.76,673.44,304.32
ORD-00141,2024-04-22,CUST-0255,Kabir Verma,Consumer,Jacket,Clothing,East,Bhubaneswar,2,2969.58,0.2,5131.43,2805.07,2326.36
ORD-00142,2023-05-30,CUST-0114,Kabir Mehta,Corporate,Jacket,Clothing,West,Mumbai,1,2666.03,0.15,2266.13,1266.1,1000.03
ORD-00143,2024-05-26,CUST-0126,Rohan Mehta,Corporate,Jeans,Clothing,West,Ahmedabad,6,1427.2,0.3,6473.77,3552.47,2921.3
ORD-00144,2024-07-13,CUST-0072,Aarav Verma,Small Business,Cooking Oil,Groceries,East,Kolkata,8,299.78,0.15,2201.58,1740.58,461.0
ORD-00145,2024-10-07,CUST-0071,Meera Nair,Consumer,Smartphone,Electronics,North,Chandigarh,4,16444.68,0.0,88801.3,62465.15,26336.15
ORD-00146,2023-01-17,CUST-0250,Nikhil Khan,Consumer,Whiteboard,Stationery,West,Ahmedabad,1,1610.31,0.1,1449.28,784.67,664.61
ORD-00147,2023-07-03,CUST-0221,Rohan Verma,Corporate,T-Shirt,Clothing,Central,Indore,2,650.17,0.15,1105.28,565.22,540.06
ORD-00148,2024-02-20,CUST-0192,Neha Mehta,Corporate,Jacket,Clothing,West,Mumbai,8,2836.4,0.2,19605.21,10191.66,9413.55
ORD-00149,2024-07-19,CUST-0194,Arjun Iyer,Consumer,Smartphone,Electronics,West,Pune,8,16402.01,0.0,141713.4,115020.81,26692.59
ORD-00150,2023-08-24,CUST-0022,Rohan Das,Small Business,Cap,Clothing,North,Lucknow,4,378.09,0.2,1209.89,717.02,492.87
ORD-00151,2023-07-03,CUST-0017,Sara Patel,Small Business,Headphones,Electronics,Central,Indore,6,2257.83,0.0,13546.97,10750.57,2796.4
ORD-00152,2024-08-03,CUST-0124,Kabir Rao,Corporate,Rice 5kg,Groceries,East,Kolkata,7,465.93,0.15,2994.09,2083.2,910.89
ORD-00153,2024-03-23,CUST-0051,Rohan Mehta,Consumer,Tablet,Electronics,East,Kolkata,4,17083.76,0.05,70111.75,55837.44,14274.31
ORD-00154,2023-08-22,CUST-0252,Pooja Reddy,Corporate,T-Shirt,Clothing,East,Patna,6,606.36,0.1,3274.37,1776.36,1498.01
ORD-00155,2023-03-26,CUST-0038,Rohan Rao,Small Business,Tablet,Electronics,East,Kolkata,5,14893.51,0.2,59574.03,49106.09,10467.94
ORD-00156,2024-03-31,CUST-0158,Kunal Singh,Small Business,T-Shirt,Clothing,North,Delhi,6,631.36,0.0,4091.22,2084.79,2006.43
ORD-00157,2023-04-02,CUST-0014,Rohan Sharma,Small Business,Whiteboard,Stationery,West,Mumbai,6,1617.35,0.15,8248.49,5046.14,3202.35
ORD-00158,2024-08-08,CUST-0125,Kabir Patel,Small Business,Sneakers,Clothing,West,Mumbai,3,3318.6,0.0,10752.27,5486.59,5265.68
ORD-00159,2023-11-03,CUST-0216,Neha Gupta,Corporate,Laptop,Electronics,West,Pune,8,58109.33,0.05,552038.66,409207.03,142831.63
ORD-00160,2023-05-19,CUST-0055,Aarav Nair,Corporate,Whiteboard,Stationery,South,Chennai,5,1442.17,0.1,6489.75,3763.19,2726.56
ORD-00161,2023-11-04,CUST-0070,Aarav Nair,Small Business,Sneakers,Clothing,East,Patna,6,3266.06,0.2,19596.33,10133.14,9463.19
ORD-00162,2023-11-30,CUST-0125,Kabir Patel,Small Business,Jacket,Clothing,West,Ahmedabad,7,2676.97,0.3,16396.43,8824.93,7571.5
ORD-00163,2024-04-17,CUST-0014,Rohan Sharma,Small Business,Whiteboard,Stationery,South,Hyderabad,4,1580.31,0.05,6485.57,4149.17,2336.4
ORD-00164,2023-09-05,CUST-0156,Rohan Sharma,Consumer,Beverages,Groceries,South,Hyderabad,5,92.86,0.2,371.42,263.31,108.11
ORD-00165,2024-12-09,CUST-0260,Nikhil Rao,Consumer,Desk Organizer,Stationery,Central,Nagpur,7,706.11,0.3,4670.92,3065.11,1605.81
ORD-00166,2023-06-20,CUST-0182,Ishaan Das,Corporate,Notebook Set,Stationery,North,Delhi,1,253.16,0.2,202.53,125.83,76.7
ORD-00167,2023-08-16,CUST-0133,Ananya Verma,Small Business,Rice 5kg,Groceries,North,Delhi,4,445.12,0.1,1602.43,1145.23,457.2
ORD-00168,2023-10-30,CUST-0054,Aditi Mehta,Small Business,Bookshelf,Furniture,North,Chandigarh,7,4553.26,0.0,39841.02,23908.16,15932.86
ORD-00169,2023-12-23,CUST-0248,Ishaan Iyer,Corporate,Jacket,Clothing,West,Mumbai,8,2574.67,0.2,20597.35,11774.35,8823.0
ORD-00170,2024-11-24,CUST-0056,Pooja Sharma,Consumer,Smartphone,Electronics,East,Bhubaneswar,3,19547.72,0.2,63334.62,46870.81,16463.81
ORD-00171,2024-10-06,CUST-0208,Sara Singh,Corporate,Desk Organizer,Stationery,West,Mumbai,3,656.09,0.2,2125.75,1258.14,867.61
ORD-00172,2023-01-05,CUST-0200,Diya Gupta,Consumer,Sofa,Furniture,Central,Nagpur,4,20705.45,0.3,57975.26,39219.61,18755.65
ORD-00173,2024-04-13,CUST-0101,Aditi Sharma,Small Business,Pen Pack,Stationery,East,Patna,2,95.25,0.3,144.01,86.22,57.79
ORD-00174,2023-12-23,CUST-0059,Ishaan Verma,Small Business,Spices Combo,Groceries,West,Ahmedabad,6,427.64,0.15,2726.21,1834.31,891.9
ORD-00175,2023-11-17,CUST-0069,Meera Verma,Corporate,Whiteboard,Stationery,North,Lucknow,2,1516.34,0.0,3790.86,2130.33,1660.53
ORD-00176,2024-03-09,CUST-0197,Ishaan Rao,Corporate,Spices Combo,Groceries,South,Hyderabad,3,398.93,0.15,1098.66,821.64,277.02
ORD-00177,2023-07-11,CUST-0072,Aarav Verma,Small Business,Pen Pack,Stationery,West,Pune,6,106.84,,544.88,297.74,247.14
